Date,GLD,SLV,USD_INR,DXY,USO,SPX,CPI,Rate,EUR_USD,VIX,Month
2019-02-14,1320.92,17.27,70.02,96.41,80.47,2757.91,2.15,2.48,1.1124,15.29,2
2019-02-15,1322.43,17.57,70.23,96.99,77.91,2781.88,2.09,2.48,1.1345,22.0,2
2019-02-18,1320.58,17.28,70.74,96.62,79.2,2733.91,2.11,2.44,1.1224,17.5,2
2019-02-19,1324.72,16.98,70.58,97.45,76.81,2770.52,2.27,2.48,1.1219,13.17,2
2019-02-20,1322.31,17.33,70.52,96.4,80.96,2785.36,2.12,2.55,1.1413,12.04,2
2019-02-21,1324.45,16.76,70.23,96.85,78.18,2776.59,2.08,2.53,1.1225,18.19,2
2019-02-22,1319.63,17.2,70.59,97.84,79.55,2818.11,2.08,2.52,1.1129,22.57,2
2019-02-25,1316.8,17.11,70.36,97.16,77.42,2803.02,2.09,2.51,1.1172,22.51,2
2019-02-26,1318.84,17.06,70.66,96.83,77.59,2781.68,2.09,2.46,1.1086,18.44,2
2019-02-27,1322.58,17.14,70.19,96.4,81.24,2790.5,2.04,2.41,1.1326,26.04,2
2019-02-28,1324.48,16.47,70.36,96.37,79.25,2794.97,2.05,2.47,1.1257,17.58,2
2019-03-01,1325.45,17.01,69.97,96.19,78.7,2800.3,2.08,2.47,1.1312,17.45,3
2019-03-04,1325.79,17.27,70.46,96.44,79.39,2735.53,2.19,2.53,1.1321,7.73,3
2019-03-05,1322.35,17.25,70.08,97.47,82.33,2783.35,2.11,2.49,1.1159,16.21,3
2019-03-06,1321.3,16.77,69.94,96.69,79.92,2749.97,2.13,2.56,1.1106,21.41,3
2019-03-07,1321.06,17.68,70.64,95.78,81.19,2834.95,2.25,2.54,1.1195,24.26,3
2019-03-08,1325.65,16.89,70.62,98.27,81.69,2796.87,2.25,2.45,1.1113,14.68,3
2019-03-11,1327.94,17.65,70.92,97.11,78.05,2795.0,2.13,2.39,1.1216,19.85,3
2019-03-12,1323.45,17.38,70.32,95.73,79.17,2829.8,2.1,2.54,1.1313,22.19,3
2019-03-13,1325.62,16.97,70.75,96.5,82.99,2817.67,2.08,2.54,1.1183,18.04,3
2019-03-14,1325.49,17.94,70.84,96.94,81.05,2773.24,2.21,2.41,1.1215,8.87,3
2019-03-15,1324.4,16.74,70.79,98.21,84.84,2807.07,2.14,2.55,1.1191,18.99,3
2019-03-18,1327.41,17.62,70.17,95.95,84.85,2801.24,2.12,2.49,1.128,21.05,3
2019-03-19,1331.73,17.71,70.67,97.62,84.53,2761.06,2.09,2.48,1.1133,14.21,3
2019-03-20,1335.71,17.1,70.79,97.95,86.91,2794.79,2.09,2.55,1.098,16.98,3
2019-03-21,1333.99,17.9,70.62,96.33,83.27,2812.09,2.18,2.54,1.1247,13.38,3
2019-03-22,1333.94,17.24,69.58,96.61,84.89,2816.25,2.05,2.5,1.1299,7.72,3
2019-03-25,1335.92,17.48,70.72,96.0,82.58,2777.33,2.24,2.49,1.1245,22.11,3
2019-03-26,1339.92,17.52,71.76,96.66,88.79,2858.45,2.12,2.5,1.1136,17.99,3
2019-03-27,1339.25,17.36,70.48,96.79,87.99,2822.94,2.15,2.45,1.1086,24.39,3
2019-03-28,1339.48,17.74,70.31,97.34,84.17,2829.23,2.05,2.47,1.1249,21.43,3
2019-03-29,1336.74,17.7,70.87,97.69,85.04,2842.22,2.16,2.42,1.1214,16.58,3
2019-04-01,1333.69,16.64,70.85,96.21,87.09,2808.66,2.14,2.45,1.1187,17.67,4
2019-04-02,1337.04,17.9,71.3,95.23,84.18,2848.09,2.16,2.45,1.1382,20.26,4
2019-04-03,1342.09,16.78,70.09,96.79,83.25,2825.49,2.28,2.44,1.1105,21.87,4
2019-04-04,1342.55,17.87,71.09,97.04,86.39,2811.7,2.18,2.47,1.1378,19.29,4
2019-04-05,1346.43,17.95,71.03,97.0,84.88,2857.9,2.1,2.45,1.1203,22.42,4
2019-04-08,1348.22,17.09,70.68,96.53,85.15,2887.55,2.11,2.49,1.1016,16.81,4
2019-04-09,1346.76,17.34,70.93,96.89,83.17,2866.64,2.22,2.38,1.1182,14.01,4
2019-04-10,1348.5,17.09,71.28,98.0,81.46,2874.69,2.27,2.46,1.1296,17.74,4
2019-04-11,1353.97,17.52,71.22,97.09,85.4,2833.48,2.19,2.47,1.1163,18.82,4
2019-04-12,1354.38,17.48,70.22,96.49,86.77,2803.27,2.23,2.45,1.1053,13.19,4
2019-04-15,1359.88,17.99,71.21,96.38,84.53,2898.0,2.22,2.45,1.1184,12.65,4
2019-04-16,1351.97,18.1,70.78,96.64,87.87,2917.04,2.29,2.38,1.1114,19.79,4
2019-04-17,1355.04,18.17,70.86,98.08,83.59,2903.78,2.02,2.48,1.1249,16.37,4
2019-04-18,1355.74,17.4,70.87,96.63,82.89,2849.53,2.23,2.49,1.1277,17.34,4
2019-04-19,1355.17,17.53,70.77,96.75,84.85,2827.06,2.26,2.49,1.1094,16.56,4
2019-04-22,1355.83,16.95,71.45,96.38,84.8,2831.83,2.07,2.51,1.1129,24.08,4
2019-04-23,1349.8,17.23,70.83,97.64,86.47,2815.39,2.11,2.47,1.1276,23.05,4
2019-04-24,1349.41,17.93,70.32,98.33,83.34,2864.78,2.11,2.48,1.1114,13.05,4
2019-04-25,1350.84,18.21,70.69,97.12,87.58,2918.27,2.12,2.47,1.1092,15.87,4
2019-04-26,1355.83,17.13,70.99,96.82,88.72,2867.95,2.14,2.49,1.1082,21.4,4
2019-04-29,1354.41,17.37,71.53,96.78,84.64,2883.37,2.2,2.38,1.1235,20.41,4
2019-04-30,1352.03,17.57,71.23,94.84,87.15,2917.67,2.25,2.41,1.1231,17.83,4
2019-05-01,1350.61,17.67,70.51,97.34,82.45,2866.38,2.27,2.54,1.1132,13.45,5
2019-05-02,1353.71,17.27,72.19,96.85,86.62,2941.67,2.12,2.33,1.1201,15.27,5
2019-05-03,1354.9,17.78,71.09,97.08,86.47,2942.46,2.12,2.45,1.1353,15.93,5
2019-05-06,1353.32,17.4,71.61,96.17,85.99,2880.87,2.29,2.51,1.1103,19.11,5
2019-05-07,1355.05,17.61,70.9,96.43,84.12,2869.57,2.24,2.45,1.1005,24.81,5
2019-05-08,1355.44,17.84,71.26,96.4,78.11,2909.92,2.2,2.43,1.1246,15.25,5
2019-05-09,1358.59,17.66,71.42,97.54,82.6,2880.67,2.23,2.46,1.1189,13.9,5
2019-05-10,1356.37,17.46,71.62,96.42,82.49,2858.5,2.19,2.44,1.1129,17.57,5
2019-05-13,1355.33,17.58,71.55,98.39,81.64,2933.74,2.23,2.46,1.1265,22.13,5
2019-05-14,1354.06,17.57,71.47,97.06,83.68,2933.89,2.17,2.42,1.1284,12.21,5
2019-05-15,1349.34,17.39,70.89,95.69,82.43,2904.17,2.22,2.51,1.0979,23.81,5
2019-05-16,1350.24,17.45,70.77,96.61,81.45,2863.71,2.08,2.52,1.1135,17.31,5
2019-05-17,1351.0,18.2,71.23,96.19,80.8,2866.81,2.14,2.44,1.1432,15.06,5
2019-05-20,1350.93,17.79,71.54,94.95,81.29,2909.02,2.14,2.38,1.1258,11.6,5
2019-05-21,1350.07,17.43,70.98,97.98,84.77,2892.9,2.17,2.42,1.1268,20.83,5
2019-05-22,1345.41,17.77,71.63,97.26,81.0,2899.77,2.13,2.44,1.1317,17.32,5
2019-05-23,1343.92,17.34,71.84,97.12,81.08,2942.76,2.16,2.47,1.1202,18.68,5
2019-05-24,1342.67,17.92,70.66,96.83,80.97,2936.2,2.08,2.4,1.128,14.4,5
2019-05-27,1339.92,17.57,70.71,95.59,82.34,2957.64,2.25,2.41,1.1272,16.72,5
2019-05-28,1339.22,17.37,71.07,96.3,82.34,2888.68,2.2,2.47,1.1254,16.05,5
2019-05-29,1340.31,17.6,71.31,97.36,75.09,2910.2,2.07,2.49,1.1168,17.6,5
2019-05-30,1346.12,16.87,70.9,95.84,82.97,2945.37,2.14,2.42,1.1217,15.32,5
2019-05-31,1346.45,17.05,71.85,94.65,83.55,2938.14,2.23,2.38,1.1141,11.86,5
2019-06-03,1347.03,17.03,71.4,96.49,78.31,2972.77,2.16,2.61,1.1201,28.91,6
2019-06-04,1346.54,17.56,71.22,96.56,78.2,2941.52,2.15,2.48,1.1083,12.55,6
2019-06-05,1340.13,18.11,70.49,96.78,78.96,2986.44,2.2,2.43,1.1121,18.73,6
2019-06-06,1339.76,18.31,70.56,97.25,78.07,2949.3,2.24,2.49,1.1172,10.91,6
2019-06-07,1339.67,17.67,71.37,97.17,79.74,2967.07,2.1,2.44,1.1106,10.01,6
2019-06-10,1347.25,17.71,70.18,96.87,75.1,2927.59,2.26,2.49,1.1149,18.39,6
2019-06-11,1346.33,16.78,71.76,97.61,76.46,2939.83,2.15,2.45,1.1184,18.7,6
2019-06-12,1346.97,17.29,71.19,95.44,81.46,2968.83,2.21,2.45,1.124,23.05,6
2019-06-13,1346.54,17.19,72.9,97.06,76.21,2991.99,2.21,2.44,1.1295,19.6,6
2019-06-14,1342.47,17.2,72.44,97.15,80.24,2967.58,2.17,2.37,1.1154,17.4,6
2019-06-17,1345.79,17.43,71.21,95.65,78.13,2945.3,2.14,2.54,1.1334,14.2,6
2019-06-18,1347.85,17.33,71.26,95.44,73.47,2991.22,2.2,2.39,1.1294,24.0,6
2019-06-19,1350.04,16.76,71.82,96.04,78.03,2886.24,2.35,2.37,1.125,21.72,6
2019-06-20,1346.78,17.81,72.18,96.11,76.18,2911.43,2.11,2.43,1.1215,13.01,6
2019-06-21,1350.91,17.13,70.52,97.24,75.16,2976.65,2.36,2.39,1.1232,18.15,6
2019-06-24,1346.07,17.59,70.46,96.14,76.21,2958.72,2.2,2.44,1.1319,18.58,6
2019-06-25,1347.58,18.35,71.05,95.94,76.31,2978.57,2.23,2.47,1.1322,16.62,6
2019-06-26,1354.23,17.24,71.67,96.14,76.42,2964.43,2.14,2.49,1.1333,21.09,6
2019-06-27,1350.7,16.55,71.63,97.52,76.99,2981.73,2.16,2.48,1.1204,21.33,6
2019-06-28,1348.53,17.42,71.93,96.63,75.08,2942.27,2.19,2.42,1.1255,17.24,6
2019-07-01,1348.48,17.97,70.81,96.47,71.14,2985.91,2.14,2.44,1.1334,16.88,7
2019-07-02,1346.51,18.29,70.26,96.52,72.57,3000.73,2.21,2.46,1.1138,24.0,7
2019-07-03,1341.19,16.94,71.86,97.64,79.02,3009.62,2.2,2.35,1.1168,21.73,7
2019-07-04,1341.06,17.63,71.03,96.01,74.2,3035.51,2.38,2.46,1.1202,18.29,7
2019-07-05,1337.31,17.2,70.44,97.66,77.1,2984.52,2.14,2.36,1.129,11.48,7
2019-07-08,1338.48,17.36,71.54,96.77,74.76,2987.52,2.24,2.54,1.1292,19.38,7
2019-07-09,1335.19,18.42,71.87,96.47,72.06,2935.7,2.25,2.41,1.1177,20.79,7
2019-07-10,1339.81,16.82,71.42,98.6,71.78,2967.56,2.15,2.42,1.1049,6.98,7
2019-07-11,1336.98,17.48,71.27,95.75,70.71,2979.81,2.29,2.39,1.1225,19.01,7
2019-07-12,1335.62,17.55,71.43,96.31,66.9,3019.21,2.21,2.4,1.1108,16.33,7
2019-07-15,1337.91,17.83,71.33,95.6,70.01,2971.47,2.04,2.54,1.1051,17.12,7
2019-07-16,1333.66,17.38,70.85,97.34,71.99,3015.79,2.29,2.48,1.1074,14.37,7
2019-07-17,1334.09,17.47,71.18,97.93,67.96,2993.95,2.15,2.35,1.1233,17.41,7
2019-07-18,1337.99,17.24,71.81,97.91,69.57,2990.78,2.16,2.5,1.1336,23.57,7
2019-07-19,1332.56,17.43,71.72,97.55,70.04,3005.67,2.3,2.49,1.1204,16.21,7
2019-07-22,1332.88,17.19,71.66,96.41,66.1,2988.57,2.22,2.41,1.1221,21.86,7
2019-07-23,1333.46,17.58,71.09,96.28,66.6,2989.53,2.32,2.44,1.1318,14.77,7
2019-07-24,1335.72,17.22,71.5,95.23,65.05,2953.36,2.34,2.43,1.1046,21.04,7
2019-07-25,1331.53,17.46,70.52,98.19,65.03,2999.16,2.19,2.53,1.1252,18.01,7
2019-07-26,1327.08,17.24,71.71,96.93,63.68,2994.3,2.31,2.39,1.1199,19.41,7
2019-07-29,1328.55,17.72,72.34,96.16,64.04,2995.32,2.19,2.43,1.1257,18.03,7
2019-07-30,1329.31,17.26,70.9,97.62,68.26,3025.41,2.43,2.4,1.1152,20.57,7
2019-07-31,1329.94,16.58,71.36,95.77,63.17,3034.76,2.19,2.35,1.1118,7.73,7
2019-08-01,1330.88,17.81,71.83,96.87,64.83,3024.07,2.33,2.53,1.1214,12.32,8
2019-08-02,1328.57,16.91,72.3,96.41,63.16,3049.06,2.32,2.36,1.1365,19.67,8
2019-08-05,1329.18,17.02,71.46,97.05,66.1,3038.57,2.28,2.43,1.1286,9.83,8
2019-08-06,1330.01,17.05,71.35,96.49,65.95,3014.55,2.2,2.34,1.1149,15.88,8
2019-08-07,1327.64,17.81,70.72,95.37,64.64,3011.61,2.24,2.4,1.1066,17.78,8
2019-08-08,1333.54,16.48,71.77,96.59,63.11,3036.98,2.08,2.44,1.1032,14.69,8
2019-08-09,1335.0,18.61,72.75,97.37,61.62,3046.91,2.27,2.38,1.1332,15.23,8
2019-08-12,1331.15,17.73,71.88,96.5,59.28,3073.74,2.29,2.45,1.1104,19.09,8
2019-08-13,1333.24,17.42,71.74,97.14,65.14,3069.64,2.27,2.41,1.1167,22.04,8
2019-08-14,1330.13,17.27,71.92,95.68,59.32,3019.76,2.02,2.48,1.1332,14.17,8
2019-08-15,1332.68,17.44,71.77,96.5,61.76,3035.04,2.16,2.49,1.1039,15.7,8
2019-08-16,1336.43,17.58,71.38,96.01,62.15,3060.33,2.2,2.39,1.1349,15.07,8
2019-08-19,1333.88,17.6,72.2,97.11,58.51,3074.34,2.29,2.42,1.1175,8.31,8
2019-08-20,1337.05,17.6,71.92,96.53,61.3,3072.57,2.29,2.43,1.1085,18.57,8
2019-08-21,1338.49,17.44,71.82,97.06,60.35,3044.58,2.25,2.45,1.1175,21.74,8
2019-08-22,1341.26,17.36,71.34,97.37,61.88,3010.98,2.32,2.42,1.1128,22.07,8
2019-08-23,1347.49,17.46,72.49,97.05,57.09,3020.73,2.18,2.43,1.1244,14.52,8
2019-08-26,1346.9,17.43,72.18,96.71,55.07,3060.98,2.32,2.4,1.1135,12.99,8
2019-08-27,1344.7,17.93,71.58,95.69,56.24,3065.17,2.31,2.42,1.1009,18.09,8
2019-08-28,1342.09,17.68,72.37,96.49,57.28,3024.04,2.3,2.48,1.1178,21.32,8
2019-08-29,1339.74,16.24,71.63,96.06,56.6,3060.44,2.26,2.45,1.1064,18.62,8
2019-08-30,1339.77,17.68,71.5,96.21,55.32,3080.14,2.42,2.45,1.122,19.16,8
2019-09-02,1341.18,17.51,71.52,96.18,51.92,3028.76,2.31,2.45,1.1081,22.57,9
2019-09-03,1342.4,17.44,71.03,95.69,56.31,3098.55,2.2,2.41,1.1151,15.04,9
2019-09-04,1345.41,17.33,72.16,94.91,58.94,3056.17,2.29,2.43,1.1218,17.12,9
2019-09-05,1345.84,17.95,71.02,95.94,55.57,3107.33,2.34,2.36,1.1179,24.54,9
2019-09-06,1350.91,17.94,71.33,96.62,55.5,3055.7,2.23,2.47,1.1225,17.21,9
2019-09-09,1350.5,17.25,70.92,95.39,55.08,3043.0,2.37,2.27,1.1268,12.93,9
2019-09-10,1359.68,17.84,71.93,96.48,54.38,3062.16,2.31,2.41,1.1084,15.32,9
2019-09-11,1362.18,17.32,71.9,97.98,55.11,3075.15,2.09,2.47,1.1194,14.25,9
2019-09-12,1359.96,17.13,71.83,97.28,53.7,3068.45,2.3,2.34,1.0867,19.43,9
2019-09-13,1357.08,17.39,71.48,97.77,51.95,3075.72,2.25,2.43,1.1225,14.42,9
2019-09-16,1359.21,18.01,71.43,96.76,50.66,3094.32,2.33,2.37,1.117,19.08,9
2019-09-17,1359.1,18.05,72.26,97.38,51.43,3081.26,2.36,2.39,1.1102,15.06,9
2019-09-18,1362.02,17.91,71.76,95.87,52.25,3086.52,2.3,2.45,1.1232,9.51,9
2019-09-19,1364.19,18.02,72.2,95.93,50.68,3039.32,2.42,2.42,1.1317,19.23,9
2019-09-20,1364.65,17.95,71.61,94.25,51.64,3104.45,2.27,2.3,1.1152,18.59,9
2019-09-23,1362.66,17.46,72.16,97.38,51.59,3092.12,2.34,2.36,1.1106,20.07,9
2019-09-24,1358.56,17.83,72.73,97.67,52.09,3145.21,2.35,2.45,1.1217,15.31,9
2019-09-25,1357.9,17.97,72.38,95.99,52.7,3070.81,2.28,2.43,1.1066,14.88,9
2019-09-26,1361.44,18.0,71.89,96.22,50.02,3046.85,2.35,2.49,1.1134,19.61,9
2019-09-27,1362.96,18.19,72.24,95.82,46.97,3121.74,2.24,2.49,1.1322,24.08,9
2019-09-30,1359.83,17.96,72.0,96.73,48.64,3115.7,2.26,2.39,1.1206,18.04,9
2019-10-01,1361.27,17.84,72.14,97.32,49.16,3077.15,2.19,2.53,1.1012,19.7,10
2019-10-02,1363.42,18.15,71.98,95.02,45.15,3063.61,2.31,2.4,1.102,16.71,10
2019-10-03,1361.53,17.69,72.07,96.74,51.35,3157.72,2.32,2.35,1.1216,11.83,10
2019-10-04,1362.99,17.37,72.27,96.19,48.63,3156.12,2.39,2.37,1.1286,21.87,10
2019-10-07,1364.17,17.67,71.68,96.5,48.88,3041.18,2.36,2.29,1.1038,21.63,10
2019-10-08,1361.54,17.4,71.68,96.77,50.62,3104.15,2.28,2.48,1.1245,20.84,10
2019-10-09,1363.73,17.46,71.51,96.25,46.42,3169.93,2.21,2.48,1.1333,17.27,10
2019-10-10,1366.61,17.71,71.41,96.31,48.62,3107.82,2.34,2.35,1.1389,20.39,10
2019-10-11,1371.18,17.51,71.61,96.22,47.06,3109.48,2.39,2.39,1.1233,21.58,10
2019-10-14,1375.68,17.76,72.31,97.17,46.72,3117.82,2.36,2.4,1.1251,24.48,10
2019-10-15,1372.43,17.08,71.8,96.72,45.36,3094.77,2.39,2.35,1.0987,21.95,10
2019-10-16,1370.61,17.9,72.51,96.56,50.06,3079.36,2.29,2.31,1.141,18.26,10
2019-10-17,1373.46,17.86,72.28,95.37,45.81,3164.18,2.27,2.39,1.1142,12.77,10
2019-10-18,1376.34,17.57,71.29,96.08,47.8,3079.41,2.25,2.38,1.1107,18.62,10
2019-10-21,1379.25,18.19,72.62,97.09,42.5,3144.22,2.3,2.38,1.1174,19.03,10
2019-10-22,1392.86,18.48,72.7,96.4,48.47,3165.5,2.3,2.41,1.1351,20.84,10
2019-10-23,1396.0,17.5,71.81,96.9,48.08,3097.46,2.33,2.47,1.1421,23.42,10
2019-10-24,1400.97,17.91,72.53,97.78,46.05,3115.37,2.3,2.38,1.1213,17.62,10
2019-10-25,1405.38,17.96,71.9,97.19,45.28,3181.6,2.3,2.4,1.13,26.4,10
2019-10-28,1408.84,17.94,72.39,96.44,46.43,3163.29,2.25,2.43,1.1204,10.96,10
2019-10-29,1409.24,18.65,71.72,95.95,50.11,3130.88,2.39,2.42,1.1096,19.68,10
2019-10-30,1413.09,18.29,71.47,94.31,41.91,3187.57,2.32,2.36,1.1348,14.81,10
2019-10-31,1412.07,18.25,72.18,96.22,46.92,3189.8,2.3,2.4,1.1138,10.37,10
2019-11-01,1412.78,17.56,72.33,96.09,43.46,3163.77,2.26,2.42,1.1354,17.19,11
2019-11-04,1412.72,18.62,72.2,96.66,45.17,3130.8,2.21,2.33,1.133,12.17,11
2019-11-05,1414.49,17.89,71.82,96.22,44.66,3147.5,2.42,2.45,1.1261,17.35,11
2019-11-06,1423.43,18.53,72.22,96.08,44.25,3170.59,2.36,2.46,1.1383,18.14,11
2019-11-07,1419.01,18.56,72.57,94.91,45.05,3158.44,2.19,2.35,1.1423,22.47,11
2019-11-08,1422.78,19.04,72.42,95.58,42.77,3194.37,2.38,2.4,1.1182,11.97,11
2019-11-11,1419.21,17.93,72.54,96.71,47.08,3122.41,2.4,2.42,1.1119,21.63,11
2019-11-12,1419.31,17.24,72.13,97.7,41.42,3125.57,2.33,2.36,1.1014,18.39,11
2019-11-13,1424.42,18.59,73.06,96.25,46.08,3177.93,2.45,2.41,1.1424,22.12,11
2019-11-14,1426.28,19.26,71.9,96.58,44.35,3159.85,2.34,2.4,1.1156,16.27,11
2019-11-15,1424.49,19.01,72.74,97.08,42.68,3157.89,2.21,2.31,1.1314,12.67,11
2019-11-18,1423.88,18.59,73.1,95.67,45.44,3125.76,2.36,2.41,1.1126,13.13,11
2019-11-19,1427.75,18.36,72.76,96.61,41.96,3181.49,2.35,2.33,1.1354,12.83,11
2019-11-20,1427.12,18.88,72.43,95.72,45.19,3181.42,2.28,2.43,1.113,19.91,11
2019-11-21,1429.54,18.19,72.28,97.0,42.31,3204.7,2.38,2.35,1.1081,23.91,11
2019-11-22,1431.42,18.8,73.07,96.43,46.14,3189.27,2.2,2.38,1.1179,15.74,11
2019-11-25,1431.09,18.81,71.85,96.54,43.43,3185.32,2.41,2.45,1.1147,20.52,11
2019-11-26,1439.72,19.14,72.09,95.67,44.45,3226.71,2.26,2.41,1.126,11.91,11
2019-11-27,1443.52,19.87,72.39,96.86,46.02,3154.13,2.26,2.33,1.1195,18.72,11
2019-11-28,1438.83,18.86,73.21,97.96,43.98,3211.69,2.33,2.33,1.1263,20.67,11
2019-11-29,1441.22,18.53,72.8,95.48,45.51,3147.57,2.37,2.35,1.1171,12.21,11
2019-12-02,1440.92,18.72,72.13,96.01,42.71,3174.65,2.35,2.4,1.1133,17.18,12
2019-12-03,1445.46,18.08,72.47,96.47,47.12,3165.52,2.28,2.4,1.1142,20.86,12
2019-12-04,1444.75,18.5,72.33,96.91,49.51,3227.46,2.3,2.34,1.1404,6.26,12
2019-12-05,1446.22,18.64,72.3,95.83,51.7,3204.14,2.25,2.32,1.1223,23.34,12
2019-12-06,1449.68,18.64,73.15,94.01,46.44,3207.79,2.32,2.39,1.1002,19.41,12
2019-12-09,1454.3,18.97,71.99,97.36,47.98,3177.1,2.43,2.37,1.1148,20.87,12
2019-12-10,1452.32,18.55,73.49,96.88,43.0,3203.41,2.34,2.49,1.121,16.35,12
2019-12-11,1453.11,19.34,73.11,94.87,49.73,3191.6,2.41,2.38,1.1385,11.11,12
2019-12-12,1453.46,18.9,73.25,95.78,48.46,3228.1,2.46,2.47,1.1303,20.14,12
2019-12-13,1453.24,18.89,72.49,97.51,46.12,3188.97,2.3,2.32,1.1108,17.67,12
2019-12-16,1460.77,18.86,72.65,97.41,49.75,3260.69,2.33,2.3,1.1442,18.13,12
2019-12-17,1463.94,19.09,72.02,97.0,46.96,3172.63,2.52,2.32,1.1197,22.35,12
2019-12-18,1461.78,19.33,72.49,96.11,46.76,3200.8,2.47,2.43,1.1325,21.05,12
2019-12-19,1466.6,18.72,73.01,96.31,48.84,3277.42,2.22,2.46,1.1084,25.68,12
2019-12-20,1475.27,18.92,73.42,96.14,45.99,3216.15,2.38,2.33,1.096,18.62,12
2019-12-23,1480.46,19.12,72.23,97.14,50.38,3191.85,2.35,2.35,1.1059,15.24,12
2019-12-24,1477.48,18.67,72.61,95.54,46.47,3239.97,2.42,2.31,1.0875,17.25,12
2019-12-25,1477.81,18.88,72.73,95.59,46.72,3221.24,2.3,2.28,1.1411,19.66,12
2019-12-26,1483.74,19.1,72.12,97.04,47.25,3212.52,2.29,2.41,1.1221,22.06,12
2019-12-27,1483.35,19.63,73.12,96.19,50.85,3206.82,2.3,2.38,1.1108,12.13,12
2019-12-30,1486.64,19.43,72.48,97.33,48.36,3324.85,2.31,2.37,1.1245,18.03,12
2019-12-31,1490.99,19.46,72.75,95.69,47.16,3236.35,2.42,2.3,1.1219,24.44,12
2020-01-01,1489.89,19.71,72.63,96.18,48.93,3188.23,2.27,2.45,1.1262,17.04,1
2020-01-02,1491.55,19.34,72.48,95.48,50.36,3292.91,2.31,2.34,1.1321,21.72,1
2020-01-03,1483.03,19.44,72.88,96.22,48.35,3268.53,2.22,2.4,1.1171,19.97,1
2020-01-06,1481.6,19.22,72.79,95.03,48.7,3229.31,2.44,2.3,1.1112,21.82,1
2020-01-07,1482.62,19.38,72.72,95.82,55.53,3226.41,2.47,2.36,1.1283,14.76,1
2020-01-08,1480.46,19.01,72.55,95.06,49.9,3276.7,2.34,2.38,1.128,14.78,1
2020-01-09,1487.5,18.36,73.09,96.76,51.29,3251.19,2.34,2.38,1.121,18.08,1
